Timestamp(ms),Current(uA)
0,1.512
1,1.502
2,1.505
3,1.501
4,1.505
5,1.497
6,1.482
7,1.502
8,1.486
9,1.482
10,1.491
11,1.494
12,1.487
13,1.499
14,1.496
15,1.494
16,1.487
17,1.488
18,1.484
19,1.492
20,1.496
21,1.498
22,1.496
23,1.502
24,1.492
25,1.496
26,1.494
27,1.500
28,1.501
29,1.493
30,1.491
31,1.495
32,1.499
33,1.490
34,1.498
35,1.497
36,1.507
37,1.501
38,1.493
39,1.497
40,1.498
41,1.495
42,1.496
43,1.506
44,1.507
45,1.499
46,1.500
47,1.496
48,1.504
49,1.493
50,1.506
51,1.501
52,1.522
53,1.542
54,1.537
55,1.542
56,1.535
57,1.547
58,1.542
59,1.542
60,1.533
61,1.519
62,1.525
63,1.526
64,1.523
65,1.519
66,1.516
67,1.525
68,1.528
69,1.522
70,1.530
71,1.530
72,1.525
73,1.519
74,1.514
75,1.511
76,1.508
77,1.500
78,1.504
79,1.506
80,1.509
81,1.500
82,1.506
83,1.506
84,1.507
85,1.512
86,1.515
87,1.511
88,1.501
89,1.509
90,1.504
91,1.514
92,1.512
93,1.512
94,1.506
95,1.509
96,1.500
97,1.512
98,1.509
99,1.507
100,1.503
101,1.499
102,1.494
103,1.500
104,1.500
105,1.506
106,1.501
107,1.507
108,1.513
109,1.506
110,1.501
111,1.501
112,1.502
113,1.498
114,1.506
115,1.509
116,1.515
117,1.503
118,1.500
119,1.502
120,1.491
121,1.493
122,1.503
123,1.501
124,1.512
125,1.501
126,1.503
127,1.492
128,1.481
129,1.494
130,1.502
131,1.500
132,1.500
133,1.497
134,1.491
135,1.491
136,1.493
137,1.495
138,1.498
139,1.496
140,1.499
141,1.495
142,1.495
143,1.490
144,1.505
145,1.500
146,1.496
147,1.489
148,1.501
149,1.499
150,1.493
151,1.495
152,1.499
153,1.492
154,1.497
155,1.503
156,1.497
157,1.500
158,1.492
159,1.487
160,1.493
161,1.492
162,1.498
163,1.503
164,1.498
165,1.495
166,1.494
167,1.502
168,1.503
169,1.502
170,1.500
171,1.486
172,1.495
173,1.492
174,1.493
175,1.489
176,1.493
177,1.484
178,1.490
179,1.500
180,1.504
181,1.497
182,1.503
183,1.508
184,1.500
185,1.500
186,1.503
187,1.495
188,1.490
189,1.493
190,1.496
191,1.491
192,1.483
193,1.487
194,1.483
195,1.490
196,1.494
197,1.492
198,1.484
199,1.496
200,1.480
201,1.496
202,1.488
203,1.483
204,1.486
205,1.483
206,1.489
207,1.489
208,1.493
209,1.481
210,1.496
211,1.492
212,1.493
213,1.488
214,1.491
215,1.474
216,1.486
217,1.490
218,1.495
219,1.496
220,1.488
221,1.482
222,1.479
223,1.487
224,1.488
225,1.486
226,1.487
227,1.493
228,1.490
229,1.478
230,1.482
231,1.489
232,1.491
233,1.489
234,1.493
235,1.495
236,1.489
237,1.493
238,1.488
239,1.485
240,1.498
241,1.481
242,1.473
243,1.475
244,1.482
245,1.475
246,1.476
247,1.482
248,1.483
249,1.485
250,1.480
251,1.470
252,1.477
253,1.492
254,1.492
255,1.494
256,1.486
257,1.480
258,1.480
259,1.483
